1. Point  150 150 -50
2. Point  150 150 -45
3. Point  150 150 -40
4. Point  150 150 -35
5. Point  150 150 -30
6. Point  150 150 -25
7. Point  150 150 -20
8. Point  150 150 -15
9. Point  150 150 -10
10. Point  150 150 -5
11. Point  150 150 0
12. Point  150 150 5
13. Point  150 150 10
14. Point  150 150 15
15. Point  150 150 20
16. Point  150 150 25
17. Point  150 150 30
18. Point  150 150 35
19. Point  150 150 40
20. Point  150 150 45
21. Point  150 150 50
22. Point  155 150 -50
23. Point  155 150 -45
24. Point  155 150 -40
25. Point  155 150 -35
26. Point  155 150 -30
27. Point  155 150 -25
28. Point  155 150 -20
29. Point  155 150 -15
30. Point  155 150 -10
31. Point  155 150 -5
32. Point  155 150 0
33. Point  155 150 5
34. Point  155 150 10
35. Point  155 150 15
36. Point  155 150 20
37. Point  155 150 25
38. Point  155 150 30
39. Point  155 150 35
40. Point  155 150 40
41. Point  155 150 45
42. Point  155 150 50
43. Point  160 150 -50
44. Point  160 150 -45
45. Point  160 150 -40
46. Point  160 150 -35
47. Point  160 150 -30
48. Point  160 150 -25
49. Point  160 150 -20
50. Point  160 150 -15
51. Point  160 150 -10
52. Point  160 150 -5
53. Point  160 150 0
54. Point  160 150 5
55. Point  160 150 10
56. Point  160 150 15
57. Point  160 150 20
58. Point  160 150 25
59. Point  160 150 30
60. Point  160 150 35
61. Point  160 150 40
62. Point  160 150 45
63. Point  160 150 50
64. Point  165 150 -50
65. Point  165 150 -45
66. Point  165 150 -40
67. Point  165 150 -35
68. Point  165 150 -30
69. Point  165 150 -25
70. Point  165 150 -20
71. Point  165 150 -15
72. Point  165 150 -10
73. Point  165 150 -5
74. Point  165 150 0
75. Point  165 150 5
76. Point  165 150 10
77. Point  165 150 15
78. Point  165 150 20
79. Point  165 150 25
80. Point  165 150 30
81. Point  165 150 35
82. Point  165 150 40
83. Point  165 150 45
84. Point  165 150 50
85. Point  170 150 -50
86. Point  170 150 -45
87. Point  170 150 -40
